distance_km,items,traffic_level,preparation_minutes,delivery_minutes
20.2,10.0,2.0,46.0,87.0
8.3,10.0,1.0,34.0,55.7
35.5,9.0,1.0,19.0,103.3
37.0,-2.0,2.0,35.0,125.3
38.9,2.0,3.0,41.0,121.7
4.3,8.0,3.0,13.0,56.6
10.2,5.0,5.0,30.0,95.9
35.5,7.0,4.0,,133.1
7.8,7.0,1.0,41.0,64.8
31.1,3.0,5.0,58.0,137.1
13.1,6.0,1.0,57.0,74.3
36.6,2.0,4.0,46.0,143.9
12.7,7.0,2.0,20.0,65.2
17.4,2.0,4.0,42.0,93.7
5.2,6.0,4.0,36.0,67.5
16.8,6.0,4.0,35.0,94.1
23.1,2.0,1.0,35.0,82.1
7.8,5.0,3.0,9.0,63.3
23.2,2.0,5.0,34.0,106.2
12.3,6.0,1.0,32.0,63.2
19.4,5.0,4.0,58.0,106.8
13.3,8.0,2.0,56.0,83.2
35.8,10.0,1.0,25.0,118.2
36.5,4.0,5.0,23.0,135.0
17.9,7.0,1.0,8.0,73.4
8.9,6.0,2.0,41.0,65.4
19.5,4.0,4.0,22.0,93.5
5.0,1.0,3.0,53.0,62.0
39.3,1.0,1.0,25.0,101.1
15.6,1.0,2.0,31.0,72.0
24.8,7.0,4.0,41.0,112.7
17.7,7.0,1.0,11.0,64.8
38.8,3.0,3.0,,128.2
13.2,6.0,1.0,23.0,58.9
13.4,4.0,2.0,18.0,65.4
39.3,8.0,1.0,54.0,118.8
3.1,10.0,3.0,40.0,66.4
19.5,9.0,1.0,59.0,94.9
2.5,9.0,1.0,27.0,36.1
17.9,2.0,1.0,49.0,83.4
15.7,3.0,4.0,51.0,88.3
2.1,4.0,3.0,7.0,46.6
23.0,6.0,1.0,19.0,81.8
14.6,4.0,3.0,8.0,79.5
23.9,1.0,3.0,45.0,105.1
9.5,1.0,5.0,51.0,86.7
29.8,8.0,3.0,36.0,114.1
5.1,5.0,10.0,46.0,53.6
12.4,10.0,2.0,55.0,74.4
23.2,3.0,3.0,10.0,91.1
27.0,7.0,4.0,45.0,125.7
12.0,6.0,5.0,25.0,90.4
39.5,3.0,2.0,56.0,119.1
21.2,2.0,1.0,13.0,66.4
29.5,1.0,2.0,28.0,88.6
37.2,6.0,5.0,47.0,148.9
32.6,3.0,3.0,55.0,114.3
3.0,2.0,1.0,20.0,36.4
13.9,1.0,5.0,42.0,93.6
19.8,8.0,1.0,10.0,71.2
21.5,6.0,5.0,25.0,108.3
23.7,9.0,5.0,26.0,121.1
9.4,4.0,5.0,10.0,71.7
29.4,2.0,4.0,7.0,113.7
15.1,6.0,,60.0,97.0
1.0,4.0,3.0,35.0,53.8
38.8,1.0,5.0,26.0,135.1
18.9,1.0,5.0,41.0,95.8
5.2,1.0,,46.0,66.4
24.7,8.0,5.0,59.0,125.0
12.1,,1.0,44.0,67.0
15.4,9.0,4.0,13.0,84.0
1.3,7.0,5.0,40.0,75.2
27.3,4.0,1.0,60.0,104.7
24.7,9.0,4.0,47.0,123.5
27.6,1.0,4.0,7.0,96.0
11.5,2.0,2.0,49.0,65.0
38.3,3.0,3.0,40.0,122.8
15.6,5.0,5.0,44.0,101.8
21.8,3.0,1.0,20.0,72.2
29.8,10.0,3.0,10.0,104.4
20.6,8.0,2.0,59.0,88.1
26.0,10.0,3.0,48.0,117.5
39.3,2.0,4.0,7.0,122.8
22.1,9.0,5.0,58.0,126.5
36.2,10.0,2.0,5.0,113.6
34.9,2.0,5.0,,136.9
32.2,8.0,1.0,17.0,99.9
11.7,6.0,1.0,31.0,54.8
6.3,7.0,2.0,57.0,71.4
15.2,2.0,5.0,43.0,109.1
4.9,7.0,1.0,40.0,55.8
1.1,9.0,2.0,38.0,52.8
9.1,1.0,3.0,55.0,71.0
15.9,5.0,10.0,29.0,84.0
2.8,,5.0,15.0,60.8
1.5,2.0,4.0,16.0,51.0
26.4,10.0,1.0,51.0,100.5
29.7,10.0,2.0,38.0,114.5
29.7,9.0,5.0,7.0,116.5
33.8,9.0,4.0,38.0,133.3
26.3,2.0,4.0,47.0,105.0
12.8,7.0,5.0,48.0,96.9
16.0,9.0,4.0,48.0,108.3
27.2,1.0,1.0,19.0,74.7
31.1,4.0,,22.0,121.9
34.7,6.0,3.0,34.0,121.5
38.4,3.0,1.0,58.0,112.3
9.4,7.0,2.0,59.0,63.2
29.5,4.0,2.0,31.0,103.6
17.0,7.0,5.0,40.0,100.2
4.0,1.0,3.0,31.0,53.0
17.2,4.0,1.0,27.0,69.3
18.2,3.0,5.0,42.0,97.4
2.6,5.0,4.0,48.0,64.4
1.6,1.0,4.0,42.0,51.2
3.8,10.0,5.0,41.0,82.4
23.2,2.0,4.0,40.0,105.8
19.8,1.0,3.0,45.0,89.3
10.9,2.0,4.0,22.0,74.5
19.3,8.0,3.0,31.0,97.4
1.7,1.0,5.0,41.0,66.0
38.2,5.0,5.0,23.0,137.6
32.0,7.0,3.0,15.0,111.6
29.7,5.0,4.0,32.0,125.6
5.7,5.0,3.0,33.0,58.0
21.1,10.0,4.0,19.0,108.2
27.4,9.0,2.0,26.0,101.8
3.0,5.0,5.0,41.0,70.4
25.0,10.0,5.0,46.0,126.4
9.9,3.0,5.0,14.0,71.6
35.1,5.0,4.0,42.0,133.7
38.6,3.0,4.0,59.0,140.7
22.0,5.0,2.0,19.0,88.7
7.2,6.0,1.0,40.0,56.3
4.6,3.0,1.0,10.0,37.0
8.5,2.0,3.0,47.0,67.2
38.2,4.0,5.0,19.0,136.6
9.8,6.0,4.0,50.0,92.8
21.2,6.0,1.0,47.0,79.1
6.3,5.0,4.0,18.0,59.9
15.0,6.0,3.0,58.0,80.5
26.9,3.0,1.0,53.0,91.7
38.0,1.0,5.0,31.0,135.5
13.4,9.0,4.0,35.0,93.0
28.3,2.0,1.0,31.0,85.2
3.1,2.0,2.0,35.0,39.5
25.1,4.0,3.0,54.0,105.1
26.7,1.0,4.0,42.0,109.2
2.9,4.0,4.0,33.0,59.7
18.7,1.0,2.0,30.0,76.2
24.7,10.0,1.0,26.0,81.8
22.3,8.0,5.0,26.0,114.4
13.0,9.0,5.0,8.0,96.7
10.3,5.0,5.0,59.0,96.8
16.5,10.0,2.0,27.0,84.1
23.2,6.0,5.0,16.0,103.3
24.9,2.0,5.0,19.0,108.7
14.7,5.0,4.0,47.0,94.2
5.7,10.0,,38.0,84.8
22.3,3.0,10.0,30.0,81.0
7.2,7.0,5.0,43.0,85.8
6.4,9.0,2.0,56.0,60.0
17.0,10.0,2.0,35.0,81.6
19.5,8.0,3.0,22.0,89.2
9.4,6.0,4.0,32.0,85.8
35.3,4.0,4.0,40.0,130.0
4.3,10.0,1.0,13.0,46.7
33.3,3.0,4.0,11.0,118.4
32.7,3.0,3.0,8.0,108.1
27.3,6.0,2.0,42.0,103.0
30.2,5.0,2.0,54.0,110.2
22.0,2.0,3.0,59.0,90.5
35.5,6.0,1.0,58.0,122.2
31.8,9.0,4.0,52.0,140.1
38.0,4.0,2.0,43.0,122.9
39.8,4.0,2.0,38.0,119.9
,5.0,3.0,50.0,76.6
33.2,5.0,4.0,45.0,132.1
31.2,4.0,5.0,51.0,132.7
6.6,6.0,3.0,13.0,57.7
15.6,7.0,4.0,48.0,103.3
3.5,10.0,3.0,12.0,64.9
3.2,3.0,3.0,11.0,49.5
30.7,2.0,1.0,29.0,91.6
21.0,4.0,3.0,44.0,98.9
1.5,7.0,3.0,26.0,55.3
4.3,6.0,2.0,28.0,56.1
12.0,7.0,2.0,26.0,70.2
30.5,9.0,4.0,43.0,120.6
26.9,10.0,4.0,35.0,124.6
1.4,3.0,3.0,8.0,41.7
6.4,6.0,5.0,54.0,98.0
32.4,9.0,5.0,59.0,137.6
11.7,10.0,5.0,60.0,109.7
2.0,4.0,3.0,39.0,66.4
10.2,1.0,5.0,48.0,80.5
9.7,10.0,2.0,17.0,73.7
37.5,3.0,5.0,46.0,146.5
19.7,8.0,1.0,11.0,81.3
32.8,5.0,5.0,47.0,135.8
27.7,10.0,1.0,21.0,88.0
17.2,7.0,4.0,5.0,82.9
1.0,10.0,4.0,27.0,71.2
,1.0,2.0,49.0,51.3
19.7,7.0,1.0,56.0,88.9
26.6,3.0,5.0,5.0,108.4
13.3,10.0,2.0,11.0,57.0
19.4,6.0,1.0,45.0,82.6
20.2,9.0,4.0,29.0,103.8
23.6,8.0,1.0,25.0,87.7
13.3,9.0,1.0,42.0,74.0
23.5,1.0,5.0,8.0,93.6
37.7,7.0,5.0,44.0,143.9
5.6,6.0,5.0,41.0,87.0
37.6,4.0,2.0,6.0,102.8
24.7,8.0,5.0,27.0,118.0
28.7,6.0,5.0,34.0,127.2
8.0,4.0,2.0,11.0,53.6
1.7,3.0,4.0,11.0,55.6
,9.0,1.0,34.0,88.8
39.8,6.0,5.0,37.0,151.0
15.2,10.0,5.0,36.0,110.8
15.2,7.0,2.0,16.0,74.8
17.8,2.0,3.0,57.0,87.8
10.8,5.0,2.0,53.0,70.5
2.7,4.0,5.0,29.0,62.2
33.4,3.0,4.0,21.0,119.6
13.6,9.0,3.0,37.0,85.2
11.5,6.0,5.0,31.0,85.5
12.7,4.0,2.0,25.0,62.9
30.7,5.0,1.0,59.0,97.1
18.9,2.0,1.0,12.0,60.6
8.4,8.0,3.0,54.0,75.2
25.3,6.0,1.0,34.0,90.5
10.2,5.0,5.0,30.0,95.9
15.2,1.0,5.0,45.0,99.9
33.9,8.0,2.0,5.0,117.3
21.4,5.0,5.0,10.0,99.4
39.2,5.0,5.0,43.0,144.2
39.5,5.0,2.0,22.0,120.5
37.7,4.0,5.0,36.0,141.9
18.9,7.0,2.0,46.0,86.4
28.9,2.0,1.0,42.0,93.1
7.1,3.0,3.0,13.0,54.5
35.7,1.0,4.0,50.0,136.7
16.2,2.0,3.0,50.0,79.5
5.5,4.0,1.0,54.0,51.2
38.7,9.0,4.0,6.0,135.6
16.8,5.0,5.0,49.0,104.9
5.9,4.0,2.0,34.0,48.8
39.5,10.0,5.0,46.0,152.8
35.9,10.0,2.0,7.0,118.1
19.9,9.0,4.0,41.0,108.5
-10.0,1.0,4.0,22.0,65.6
26.5,3.0,2.0,23.0,82.9
,7.0,5.0,53.0,142.9
33.9,9.0,4.0,38.0,138.0
8.9,5.0,2.0,9.0,54.6
9.9,2.0,3.0,35.0,64.9
14.9,4.0,1.0,47.0,63.0
21.4,6.0,1.0,6.0,80.1
12.8,3.0,1.0,25.0,58.2
17.4,10.0,5.0,27.0,109.0
7.7,1.0,4.0,9.0,67.1
32.5,7.0,4.0,47.0,134.7
35.2,2.0,2.0,43.0,115.9
24.2,1.0,1.0,44.0,74.1
6.0,8.0,3.0,13.0,70.3
32.9,1.0,3.0,17.0,109.8
4.5,10.0,3.0,8.0,64.9
17.2,10.0,5.0,35.0,116.6
37.2,5.0,2.0,46.0,117.5
30.8,8.0,3.0,20.0,96.1
32.7,10.0,3.0,,118.0
21.9,5.0,2.0,10.0,83.2
31.0,4.0,2.0,60.0,110.3
32.0,4.0,5.0,15.0,126.7
13.6,4.0,2.0,28.0,70.1
35.1,5.0,2.0,51.0,115.0
7.8,1.0,5.0,44.0,81.6
33.4,-2.0,2.0,40.0,112.1
22.5,2.0,1.0,39.0,79.2
34.4,8.0,4.0,11.0,125.3
38.3,5.0,4.0,53.0,141.7
8.0,7.0,3.0,25.0,73.6
17.0,4.0,1.0,22.0,65.6
31.5,7.0,10.0,28.0,120.2
7.1,2.0,5.0,16.0,69.5
39.7,1.0,5.0,28.0,137.7
4.5,4.0,4.0,22.0,53.1
23.0,10.0,2.0,50.0,98.6
21.2,9.0,2.0,15.0,89.3
1.7,3.0,3.0,15.0,51.0
29.7,5.0,5.0,54.0,142.0
2.5,9.0,5.0,26.0,71.1
16.8,3.0,5.0,14.0,85.6
8.9,4.0,2.0,39.0,59.5
37.1,2.0,5.0,52.0,140.8
23.7,2.0,3.0,48.0,103.0
8.5,6.0,5.0,20.0,85.5
19.6,6.0,2.0,60.0,91.7
11.2,4.0,3.0,13.0,66.3
33.2,5.0,4.0,45.0,132.1
7.4,4.0,5.0,17.0,63.7
37.5,8.0,5.0,,151.9
16.3,7.0,1.0,60.0,86.2
16.3,8.0,3.0,26.0,89.1
19.0,10.0,4.0,18.0,98.9
17.6,6.0,1.0,16.0,66.7
6.2,7.0,3.0,29.0,66.6
11.5,5.0,1.0,52.0,71.9
16.7,6.0,1.0,16.0,65.6
21.1,7.0,5.0,27.0,113.9
22.4,5.0,5.0,27.0,106.7
5.8,9.0,4.0,20.0,81.5
9.2,8.0,3.0,55.0,75.4
25.6,5.0,5.0,51.0,127.1
22.7,3.0,10.0,43.0,87.3
31.0,10.0,1.0,51.0,109.7
15.7,6.0,5.0,36.0,98.7
21.8,7.0,3.0,33.0,95.7
39.2,8.0,5.0,16.0,145.6
31.5,4.0,4.0,18.0,123.4
4.9,6.0,4.0,24.0,70.7
35.4,,1.0,40.0,106.3
7.1,3.0,3.0,13.0,54.5
3.4,7.0,1.0,59.0,51.9
5.9,2.0,3.0,31.0,60.0
25.7,9.0,4.0,5.0,107.1
19.1,9.0,3.0,57.0,103.4
31.8,6.0,5.0,9.0,120.0
18.5,8.0,1.0,5.0,70.3
4.8,6.0,4.0,33.0,74.2
39.7,8.0,1.0,11.0,120.2
17.5,1.0,4.0,45.0,95.6
6.5,4.0,2.0,35.0,53.9
29.8,10.0,3.0,10.0,104.4
19.4,4.0,1.0,12.0,58.7
8.0,10.0,4.0,22.0,80.9
8.6,4.0,1.0,43.0,48.3
34.1,1.0,3.0,17.0,106.1
6.9,7.0,3.0,30.0,62.2
14.3,1.0,5.0,53.0,93.9
14.5,9.0,2.0,11.0,73.0
10.8,8.0,5.0,56.0,100.7
36.5,8.0,5.0,26.0,135.7
21.9,4.0,1.0,24.0,78.2
4.2,3.0,5.0,58.0,76.1
12.5,10.0,5.0,37.0,101.5
33.1,6.0,2.0,53.0,107.0
35.1,9.0,5.0,12.0,139.7
13.8,5.0,3.0,45.0,88.1
2.6,3.0,,44.0,42.4
26.2,1.0,1.0,51.0,84.8
14.2,4.0,3.0,40.0,69.6
31.6,6.0,2.0,44.0,109.7
10.5,7.0,3.0,44.0,74.5
8.9,5.0,5.0,32.0,92.3
18.2,2.0,1.0,15.0,60.0
30.7,9.0,1.0,33.0,103.7
3.5,4.0,5.0,32.0,85.0
26.5,2.0,5.0,17.0,98.0
31.3,9.0,5.0,10.0,130.6
31.9,6.0,4.0,50.0,131.1
28.8,3.0,3.0,56.0,110.6
10.9,1.0,1.0,45.0,51.2
24.2,4.0,5.0,23.0,112.9
7.3,7.0,2.0,27.0,50.4
29.9,7.0,1.0,54.0,107.9
10.1,3.0,3.0,53.0,75.9
2.4,4.0,3.0,57.0,61.3
14.6,3.0,5.0,6.0,79.9
27.9,9.0,3.0,60.0,121.9
1.1,10.0,2.0,9.0,40.0
1.6,3.0,4.0,31.0,56.9
-10.0,9.0,5.0,29.0,75.5
33.6,3.0,2.0,15.0,106.4
38.2,2.0,2.0,6.0,103.5
9.4,2.0,4.0,18.0,70.9
33.3,1.0,2.0,32.0,107.7
11.3,7.0,3.0,25.0,81.3
6.0,10.0,3.0,42.0,79.2
8.0,2.0,2.0,16.0,45.7
22.2,10.0,4.0,32.0,110.5
11.2,3.0,5.0,32.0,95.2
11.6,10.0,4.0,48.0,94.9
16.4,3.0,3.0,12.0,84.4
33.6,7.0,2.0,53.0,120.1
9.0,6.0,4.0,24.0,74.7
11.3,9.0,4.0,21.0,83.6
1.2,8.0,4.0,44.0,68.3
26.2,6.0,1.0,51.0,95.0
15.6,,3.0,53.0,89.9
28.1,4.0,1.0,54.0,99.9
3.5,4.0,1.0,15.0,37.8
11.9,8.0,3.0,41.0,75.4
12.2,9.0,3.0,56.0,85.1
33.2,9.0,3.0,40.0,115.5
5.1,3.0,5.0,25.0,86.0
15.7,6.0,1.0,52.0,61.2
20.1,1.0,4.0,14.0,94.8
5.5,9.0,2.0,28.0,62.0
9.0,10.0,3.0,32.0,78.4
35.8,10.0,5.0,43.0,145.8
17.2,8.0,4.0,49.0,107.0
13.6,3.0,2.0,6.0,60.6
27.3,8.0,5.0,22.0,127.2
14.1,7.0,5.0,38.0,94.6
4.6,9.0,3.0,45.0,73.1
7.1,2.0,5.0,16.0,69.5
1.2,8.0,4.0,44.0,68.3
22.1,10.0,1.0,21.0,81.9
30.6,7.0,3.0,29.0,110.7
15.4,1.0,2.0,36.0,70.5
6.6,5.0,3.0,28.0,57.8
22.3,9.0,4.0,54.0,114.9
3.3,8.0,4.0,42.0,84.6
33.8,1.0,3.0,36.0,106.5
27.4,2.0,5.0,23.0,114.3
19.0,1.0,2.0,58.0,82.6
15.0,4.0,4.0,7.0,76.6
35.8,7.0,5.0,49.0,150.3
36.4,2.0,5.0,15.0,128.2
5.6,3.0,3.0,14.0,58.1
37.5,3.0,1.0,41.0,103.6
3.9,4.0,2.0,54.0,61.0
15.8,8.0,2.0,46.0,72.8
13.4,2.0,4.0,46.0,84.5
24.2,1.0,3.0,15.0,85.6
18.8,7.0,5.0,39.0,111.4
33.1,9.0,2.0,38.0,117.6
14.5,3.0,5.0,43.0,95.1
2.3,1.0,3.0,38.0,50.5
,9.0,5.0,18.0,79.7
22.4,10.0,4.0,15.0,105.6
39.0,7.0,3.0,29.0,130.8
22.1,10.0,1.0,28.0,86.8
7.5,6.0,3.0,51.0,82.0
32.6,5.0,1.0,47.0,107.4
17.1,4.0,5.0,5.0,90.2
33.1,2.0,1.0,57.0,106.3
6.4,4.0,2.0,23.0,54.8
3.8,7.0,4.0,22.0,69.8
36.9,7.0,1.0,6.0,106.4
31.3,10.0,3.0,35.0,124.0
4.7,9.0,1.0,34.0,57.4
5.0,7.0,5.0,51.0,78.6
21.6,6.0,5.0,45.0,120.7
16.8,9.0,1.0,10.0,64.0
18.2,2.0,5.0,7.0,96.2
28.7,8.0,2.0,14.0,96.2
9.9,6.0,5.0,12.0,77.0
13.0,8.0,1.0,17.0,54.1
22.2,1.0,5.0,29.0,110.0
16.6,4.0,4.0,44.0,99.7
31.5,3.0,2.0,19.0,92.0
22.7,9.0,3.0,8.0,96.8
31.2,8.0,3.0,19.0,110.7
23.5,5.0,1.0,47.0,96.6
12.7,6.0,2.0,10.0,65.9
31.4,6.0,2.0,,105.5
32.8,9.0,3.0,21.0,114.3
4.9,4.0,2.0,16.0,41.1
30.5,6.0,3.0,45.0,112.4
37.9,7.0,3.0,22.0,132.8
37.3,2.0,3.0,21.0,116.6
17.0,-2.0,2.0,51.0,88.8
18.8,1.0,,50.0,74.5
35.4,2.0,3.0,51.0,133.0
23.5,7.0,3.0,52.0,112.9
17.7,3.0,4.0,44.0,98.0
12.2,5.0,5.0,13.0,83.4
29.8,3.0,2.0,37.0,101.8
9.5,6.0,2.0,22.0,61.8
32.0,9.0,5.0,48.0,143.1
38.9,8.0,4.0,14.0,144.3
39.5,2.0,3.0,56.0,124.8
22.1,4.0,2.0,29.0,86.3
29.7,5.0,2.0,13.0,97.2
39.4,9.0,2.0,25.0,132.0
12.0,3.0,5.0,23.0,84.7
39.4,4.0,4.0,42.0,136.4
17.1,8.0,3.0,33.0,86.8
20.8,6.0,2.0,12.0,88.5
15.5,8.0,5.0,37.0,105.6
12.3,1.0,4.0,33.0,77.2
11.6,7.0,1.0,31.0,58.4
39.6,8.0,2.0,9.0,118.1
29.9,1.0,1.0,17.0,87.0
4.7,10.0,5.0,5.0,76.7
31.3,7.0,3.0,24.0,109.1
36.2,10.0,2.0,5.0,113.6
11.0,6.0,4.0,11.0,75.3
16.6,4.0,4.0,44.0,99.7
11.2,3.0,1.0,7.0,40.3
23.6,10.0,1.0,29.0,89.3
14.3,5.0,2.0,44.0,73.1
30.9,4.0,4.0,17.0,104.9
36.3,10.0,2.0,43.0,117.9
31.1,10.0,1.0,54.0,105.4
33.8,7.0,3.0,18.0,124.7
29.6,4.0,1.0,5.0,89.4
14.0,5.0,1.0,39.0,66.0
13.0,6.0,2.0,52.0,77.2
6.9,3.0,2.0,53.0,55.2
36.9,1.0,5.0,17.0,127.8
25.7,6.0,3.0,22.0,103.3
-10.0,9.0,2.0,57.0,78.3
29.9,10.0,1.0,10.0,95.3
2.7,10.0,2.0,44.0,62.0
6.2,9.0,3.0,12.0,58.9
7.8,1.0,3.0,39.0,58.5
12.0,10.0,4.0,52.0,101.3
3.9,9.0,2.0,42.0,68.7
20.8,9.0,1.0,54.0,78.6
10.8,2.0,5.0,24.0,76.5
19.1,5.0,5.0,9.0,103.5
3.7,5.0,4.0,49.0,74.1
25.5,5.0,2.0,18.0,90.0
14.8,7.0,2.0,11.0,70.2
34.2,4.0,5.0,58.0,131.4
3.3,5.0,2.0,38.0,47.4
34.3,1.0,5.0,19.0,127.2
24.0,9.0,2.0,18.0,96.6
10.5,1.0,1.0,22.0,46.4
36.0,7.0,1.0,46.0,103.2
14.4,1.0,4.0,15.0,86.6
16.3,5.0,4.0,34.0,96.6
13.0,9.0,3.0,59.0,91.8
2.8,9.0,5.0,53.0,66.0
20.8,9.0,3.0,34.0,98.4
11.4,5.0,5.0,44.0,90.0
5.2,6.0,2.0,22.0,48.3
28.2,10.0,4.0,56.0,125.2
27.8,5.0,3.0,7.0,95.7
12.9,4.0,5.0,,84.2
35.9,7.0,5.0,21.0,134.8
34.5,8.0,1.0,54.0,114.6
24.1,4.0,3.0,32.0,98.2
11.4,9.0,5.0,52.0,100.4
35.4,5.0,1.0,47.0,115.3
23.9,8.0,3.0,17.0,96.4
32.6,1.0,5.0,8.0,123.9
33.1,1.0,3.0,46.0,119.6
7.4,10.0,4.0,20.0,77.0
39.1,4.0,5.0,21.0,141.0
24.0,8.0,1.0,58.0,98.0
36.8,9.0,3.0,27.0,131.8
7.7,5.0,1.0,58.0,58.5
19.4,8.0,1.0,22.0,75.8
32.9,1.0,3.0,17.0,109.8
10.3,3.0,5.0,10.0,74.7
31.3,6.0,3.0,8.0,110.8
34.0,1.0,3.0,29.0,113.7
5.9,1.0,5.0,59.0,68.9
26.9,1.0,4.0,47.0,113.4
25.5,3.0,5.0,28.0,115.7
7.1,6.0,1.0,52.0,57.1
31.4,4.0,4.0,36.0,122.8
3.8,3.0,2.0,39.0,50.6
18.4,10.0,4.0,59.0,117.5
12.5,7.0,1.0,35.0,72.1
13.0,8.0,5.0,34.0,98.9
33.7,4.0,4.0,23.0,121.1
14.2,2.0,1.0,53.0,62.8
35.2,5.0,3.0,29.0,112.1
5.0,3.0,4.0,58.0,66.1
33.0,5.0,3.0,9.0,117.8
7.1,6.0,1.0,14.0,39.6
6.4,4.0,4.0,27.0,66.6
35.1,1.0,2.0,48.0,110.4
35.2,8.0,2.0,32.0,113.7
15.4,2.0,1.0,34.0,54.5
5.3,5.0,1.0,20.0,41.2
14.4,1.0,4.0,15.0,86.6
27.8,5.0,2.0,34.0,97.2
14.1,5.0,1.0,31.0,59.8
1.4,3.0,5.0,43.0,73.0
37.2,10.0,3.0,32.0,141.5
